,v1,v2
58,ham,Tell where you reached
1228,spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
2782,ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
972,ham,Yup i thk so until e shop closes lor.
3683,ham,Dad says hurry the hell up
2880,ham,Printer is cool. I mean groovy. Wine is groovying
1016,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
2123,spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
1390,ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
3391,ham,What r u cooking me for dinner?
1793,ham,You bad girl. I can still remember them
554,ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book
3014,ham, &lt;#&gt;  mins but i had to stop somewhere first.
4684,ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
2827,ham,Wife.how she knew the time of murder exactly
1751,ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
4941,ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
840,ham,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx
3881,ham,Short But Cute: \Be a good person
1162,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
4882,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
1113,ham,"No I'm good for the movie, is it ok if I leave in an hourish?"
4964,ham,"A few people are at the game, I'm at the mall with iouri and kaila"
346,ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
2897,ham,If you r @ home then come down within 5 min
3884,ham,Like a personal sized or what
1025,ham,I have a sore throat. It's scratches when I talk
132,ham,First answer my question.
5469,ham,Ok lor.
4625,ham,Lol ... I knew that .... I saw him in the dollar store
3059,ham,K..k...from tomorrow onwards started ah?
1083,ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
475,ham,Ok I'm gonna head up to usf in like fifteen minutes
2834,ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
326,ham,Hi da:)how is the todays class?
5502,ham,Apo all other are mokka players only
4013,ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
717,ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
4443,ham,COME BACK TO TAMPA FFFFUUUUUUU
2711,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
4655,ham,"K, I'll work something out"
3024,ham,"What part of \don't initiate\"" don't you understand"""
2659,ham,Ok...
5032,ham,"* Was really good to see you the other day dudette, been missing you!"
2641,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
805,ham,I dled 3d its very imp
2461,ham,Anything lar...
1383,ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
1279,ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
2119,ham,I hope you know I'm still mad at you.
3894,ham,Yes. Last  practice
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
3230,ham,No plm i will come da. On the way.
1808,ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
2849,ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
3434,ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
765,spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub
3397,ham,It only does simple arithmetic not percentages.
571,ham,Do you know where my lab goggles went
913,ham,Ok lor but not too early. Me still having project meeting now.
924,ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
4899,spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
5429,ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
3019,ham,I thank you so much for all you do with selflessness. I love you plenty.
1351,ham,Yo theres no class tmrw right?
3860,spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
4518,ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
